group,team,pot
A,Mexico,1
A,South Korea,2
A,Czech Republic,3
A,South Africa,4
B,Switzerland,1
B,Canada,2
B,Qatar,3
B,Bosnia-Herzegovina,4
C,Scotland,1
C,Morocco,2
C,Brazil,3
C,Haiti,4
D,United States,1
D,Australia,2
D,Turkey,3
D,Paraguay,4
E,Germany,1
E,Ecuador,2
E,Ivory Coast,3
E,Curaçao,4
F,Netherlands,1
F,Japan,2
F,Sweden,3
F,Tunisia,4
G,Belgium,1
G,Egypt,2
G,Iran,3
G,New Zealand,4
H,Spain,1
H,Cape Verde,2
H,Saudi Arabia,3
H,Uruguay,4
I,France,1
I,Senegal,2
I,Iraq,3
I,Norway,4
J,Argentina,1
J,Algeria,2
J,Austria,3
J,Jordan,4
K,Portugal,1
K,Congo DR,2
K,Uzbekistan,3
K,Colombia,4
L,England,1
L,Croatia,2
L,Ghana,3
L,Panama,4
